"Date","Price","Open","High","Low","Vol.","Change %"
"09/10/2021","8.4694","8.4441","8.4862","8.3812","","0.17%"
"09/09/2021","8.4553","8.4402","8.4721","8.3725","","0.22%"
"09/09/2021","8.4366","8.4659","8.5214","8.4215","","-0.06%"
"09/08/2021","8.4416","8.4586","8.5177","8.4170","","-0.38%"
"09/08/2021","8.4734","8.3595","8.4939","8.3337","","0.04%"
"09/07/2021","8.4700","8.3430","8.4825","8.3305","","1.40%"
"09/07/2021","8.3527","8.2826","8.3593","8.2600","","0.13%"
"09/06/2021","8.3416","8.2777","8.3512","8.2535","","0.72%"
"09/06/2021","8.2821","8.3236","8.3355","8.2570","","0.09%"
"09/05/2021","8.2750","8.3049","8.3302","8.2535","","-0.57%"
"09/03/2021","8.3227","8.2904","8.3642","8.2629","","0.21%"
"09/02/2021","8.3049","8.2803","8.3464","8.2595","","0.32%"
"09/02/2021","8.2781","8.2917","8.3161","8.2512","","-0.01%"
"09/01/2021","8.2791","8.3017","8.3040","8.2475","","-0.20%"
"09/01/2021","8.2960","8.3164","8.3357","8.2610","","-0.10%"
"08/31/2021","8.3041","8.3018","8.3330","8.2590","","-0.15%"
"08/31/2021","8.3164","8.3843","8.4022","8.2889","","0.18%"
"08/30/2021","8.3014","8.3874","8.3879","8.2785","","-0.94%"
"08/30/2021","8.3799","8.3546","8.3974","8.3194","","-0.08%"
"08/29/2021","8.3863","8.3434","8.3926","8.3159","","0.39%"
"08/27/2021","8.3537","8.3971","8.4150","8.3268","","0.12%"
"08/26/2021","8.3434","8.3815","8.4058","8.3282","","-0.59%"
"08/26/2021","8.3925","8.3749","8.4065","8.3260","","0.21%"
"08/25/2021","8.3746","8.3711","8.4025","8.3335","","-0.05%"
"08/25/2021","8.3787","8.4088","8.4324","8.3535","","0.09%"
"08/24/2021","8.3710","8.4011","8.4214","8.3525","","-0.47%"
"08/24/2021","8.4102","8.4330","8.4597","8.3869","","0.09%"
"08/23/2021","8.4027","8.4142","8.4506","8.3745","","-0.29%"
"08/23/2021","8.4275","8.4977","8.5079","8.4118","","0.13%"
"08/22/2021","8.4169","8.4852","8.4991","8.4045","","-0.91%"
"08/20/2021","8.4941","8.4975","8.5681","8.2651","","0.10%"
"08/19/2021","8.4852","8.5062","8.5592","8.4615","","-0.32%"
"08/19/2021","8.5125","8.4596","8.5700","8.3880","","0.13%"
"08/18/2021","8.5012","8.4284","8.5524","8.2577","","0.55%"
"08/18/2021","8.4544","8.4245","8.5028","8.3942","","0.13%"
